Instance,Submission Date,Submitter,Duration,District,Kumban,Village,DELETED - Village Phin,Source type,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,Yield (s),Women user,Men,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Name RWS,Photo Pt 1,Lat,Lon,Elev,Geo code,Functionality,Quantity,Quality,Accessibility,Reliability,Photo of Source
291479,12-09-2014 09:55:02 UTC,_.______ __________,0:26:01,Atsaphone,Judsumnapord,"13-XX-049-???? ??????-""Kudhin",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/46229f2d-060b-4806-9856-36bc8718bdac.jpg,Yes,Works well,8,4,2,Community,Yes,,Community,Community,Community,< 5,Community,No payment,__________,https://akvoflow-34.s3.amazonaws.com/images/b5630dd6-d15e-44bc-9eb2-1b9affa8b596.jpg,16.86191012,105.3915789,117.7,5z696h9wb,No functionality,Met,Not met,Met,Not met,https://akvoflow-34.s3.amazonaws.com/images/46229f2d-060b-4806-9856-36bc8718bdac.jpg
291513,07-09-2014 05:22:54 UTC,___ _____ _____________ +____ ______,0:19:55,Atsaphone,Kumban 1,"13-01-008-???? ???????-""Songhong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6265735e-ee68-4905-b960-65e20e35b609.jpg,Yes,Works well,13,6,2,Community,Yes,,Community,National institution,International NGO,5 to 10,Community,Time,______,https://akvoflow-34.s3.amazonaws.com/images/df04e90a-1080-4d95-badd-137e43d02f08.jpg,16.93690158,105.3415943,149.2,604pdl7tz,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/6265735e-ee68-4905-b960-65e20e35b609.jpg
291733,12-09-2014 07:41:27 UTC,_. _______,0:11:23,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-034-???? ??????-""Bangbed",,Ground / Spring,Borehole,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d42ded8c-30a2-4a26-9742-a2a4475dc721.jpg,Yes,Works well,20,1,1,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,_________,https://akvoflow-34.s3.amazonaws.com/images/d085a018-4cae-48ce-9298-f4524aaa1905.jpg,17.03822443,105.2210397,150.8,61f90wf8y,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/d42ded8c-30a2-4a26-9742-a2a4475dc721.jpg
291853,12-09-2014 04:57:04 UTC,_. ________ ______,0:09:44,Atsaphone,Kumban 04,"13-04-019-???? ??????-""Donkoong",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7267998c-f899-478b-82f9-8433b88f0a12.jpg,Yes,Works well,5,5,3,Community,Yes,,Community,Community,Community,>20,Community,When break down,__ ____ __,https://akvoflow-34.s3.amazonaws.com/images/0a346903-8e9e-41b1-ab15-733df0b3021b.jpg,16.91913084,105.254573,147.4,5zwjhsfep,Partial functionality,Met,Not met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/7267998c-f899-478b-82f9-8433b88f0a12.jpg
291864,12-09-2014 05:47:56 UTC,_. _________ __________,0:16:41,Atsaphone,Kumban 03,"13-03-016-???? ?????????-""Namarkkea",,Ground / Spring,Borehole,Motor pump,,,Yes,Motor pump,1,https://akvoflow-34.s3.amazonaws.com/images/ab8cc3d9-8615-4cea-8e76-9006a416f429.jpg,Yes,Works well,43,6,4,Wat,Yes,,Community,Private,Private,< 5,National institution,Community box,___ _________ 2,https://akvoflow-34.s3.amazonaws.com/images/27f6ee13-f590-4da7-b59d-5a031a4a6d91.jpg,16.89773952,105.2761739,163.6,5zmpks5w9,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/ab8cc3d9-8615-4cea-8e76-9006a416f429.jpg
291959,12-09-2014 09:28:17 UTC,___ _______,0:18:03,Atsaphone,Judsumphonengarm,"13-XX-024-???? ????-""Phoxay",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c8e63ff2-0c53-4645-849e-27438f27d5f2.jpg,Yes,Works well,18,3,3,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,___ _____ ____ ______,https://akvoflow-34.s3.amazonaws.com/images/23475e66-f8ab-41cd-a143-a8c2db258ba1.jpg,16.88854813,105.2482205,144.5,5zihlakaq,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/c8e63ff2-0c53-4645-849e-27438f27d5f2.jpg
292059,12-09-2014 04:11:41 UTC,_.____,0:10:14,Atsaphone,Judsumnalaw,"13-XX-054-???? ?????????-""Houaynguakham",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/dcd60a13-b87c-428d-80c2-66de39c6126f.jpg,Yes,Not well,33,4,6,Community,Yes,,Community,Community,Community,< 5,Community,When break down,________ _.______,https://akvoflow-34.s3.amazonaws.com/images/9d1d1e2f-a783-4c83-939b-d7286272527c.jpg,16.82932452,105.5555656,224.9,5yra78i83,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/dcd60a13-b87c-428d-80c2-66de39c6126f.jpg
292085,12-09-2014 04:42:15 UTC,_. ________ ______,0:06:51,Atsaphone,Kumban 04,"13-04-021-???? ???????????-""Donkaphoung",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/29a4c441-f292-4814-8189-aab1f9265c0f.jpg,Yes,Works well,22,4,4,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,_____ _______ _____,https://akvoflow-34.s3.amazonaws.com/images/475536d8-faa3-45e1-bb0c-854e9048fb46.jpg,16.93101329,105.2481578,155.8,601zyu20x,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/29a4c441-f292-4814-8189-aab1f9265c0f.jpg
292101,12-09-2014 04:40:12 UTC,_.____,0:09:31,Atsaphone,Judsumnapord,"13-XX-046-???? ????????-""Tonphosee",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d318815e-c79a-4b4a-86e7-989c6e32f168.jpg,Yes,Works well,9,6,9,Community,Yes,,Community,National institution,National institution,10 to 20,Community,When break down,________ _.___,https://akvoflow-34.s3.amazonaws.com/images/0d279a37-f2b3-42ca-8e1d-0856e9b4096e.jpg,16.92192366,105.4310854,140.5,5zxtmvujq,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/d318815e-c79a-4b4a-86e7-989c6e32f168.jpg
292123,12-09-2014 06:56:18 UTC,_.____,0:06:42,Atsaphone,Judsumnapord,"13-XX-046-???? ????????-""Tonphosee",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fb3718f8-9fdb-438f-acac-a20829112631.jpg,Yes,Works well,5,3,5,Community,Yes,,Community,Community,Community,>20,Community,When break down,_____ _.__,https://akvoflow-34.s3.amazonaws.com/images/b3bafb1d-f45e-4560-a869-8c56db574e9e.jpg,16.94434475,105.4492216,149.6,6084f69ek,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/fb3718f8-9fdb-438f-acac-a20829112631.jpg
300913,09-09-2014 07:29:14 UTC,Phetphoominh CTBH,0:10:29,Atsaphone,Kumban 1,"13-01-005-???? ??????-""Nongbua",,Ground / Spring,Borehole,No extraction system,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/729bd3be-79c5-4f3f-8b0c-e8032db63db9.jpg,No,Doesn't work,,3,3,Private,No,No need,Private,International NGO,International NGO,5 to 10,Community,,Mr. B,https://akvoflow-34.s3.amazonaws.com/images/12d5b8bd-87c7-405a-827a-6ac368169f1b.jpg,16.86114733,105.3093975,139.9,5z5wg1hgl,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/729bd3be-79c5-4f3f-8b0c-e8032db63db9.jpg
300915,09-09-2014 08:45:22 UTC,Phetphoominh CTBH,0:09:57,Atsaphone,Kumban 03,"13-03-013-???? ???????-""Naduea",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/9a5aba96-252e-48df-a239-488e10181b9b.jpg,Yes,Works well,300,3,4,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,No payment,Ms. C,https://akvoflow-34.s3.amazonaws.com/images/7a373615-18cd-4c4f-bc01-f276c37acdf2.jpg,16.85838372,105.3170126,166.6,5z4mst3w2,No functionality,Not met,Not met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/9a5aba96-252e-48df-a239-488e10181b9b.jpg
300958,11-09-2014 00:36:05 UTC,_. ____,0:10:52,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-035-???? ????-""Khamphou",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/98437c60-dd19-46d9-8bd5-14b3b8fe5841.jpg,No,Doesn't work,,6,8,Community,Yes,,Community,International NGO,Don't know,5 to 10,Community,No payment,______ ________ ____ __,https://akvoflow-34.s3.amazonaws.com/images/be870733-362a-4302-8a0b-5c162bacffa0.jpg,17.00877166,105.2349785,144,611pz4px9,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/98437c60-dd19-46d9-8bd5-14b3b8fe5841.jpg
300970,11-09-2014 01:00:42 UTC,_. ____,0:14:08,Atsaphone,Judsumkaengmom,"13-XX-041-???? ???????-""Kaengmeo",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/486405a0-0323-47ba-a0cd-58d4974404b6.jpg,Yes,Not well,20,5,3,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,No payment,____ ______,https://akvoflow-34.s3.amazonaws.com/images/4f10580d-d36f-46be-ba59-930b8ee94f6b.jpg,17.08645034,105.4850848,217,621ensrgi,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/486405a0-0323-47ba-a0cd-58d4974404b6.jpg
301002,10-09-2014 14:40:35 UTC,_. _______,0:06:46,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-036-???? ??????-""Kangtha",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f7bb8ec9-84a0-47bb-b8cd-ca69623aa8a1.jpg,Yes,Works well,35,6,8,Community,Yes,,Community,International NGO,International NGO,< 5,Community,No payment,____________,https://akvoflow-34.s3.amazonaws.com/images/1d1d9da7-5002-47ba-8cc1-fc1f809e7e70.jpg,17.03800847,105.2675517,155.2,61f5dx2ir,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/f7bb8ec9-84a0-47bb-b8cd-ca69623aa8a1.jpg
301216,12-09-2014 04:35:06 UTC,_ ________,0:11:26,Atsaphone,Kumban 1,"13-01-006-???? ?????????-""Nahangnoi",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/20dc796c-1765-4874-a169-a93d949c7482.jpg,Yes,Works well,18,5,1,School,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,__________________,https://akvoflow-34.s3.amazonaws.com/images/039f8a59-ae1f-4b44-b243-4bd4b8dcc79a.jpg,16.87330074,105.3640343,128.8,5zbhjshxk,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/20dc796c-1765-4874-a169-a93d949c7482.jpg
