Instance,Submission Date,Submitter,Duration,District,Kumban,Village,DELETED - Village Phin,Source type,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,Yield (s),Women user,Men,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Name RWS,Photo Pt 1,Lat,Lon,Elev,Geo code,Functionality,Quantity,Quality,Accessibility,Reliability,Photo of Source
2421220,14-10-2014 09:01:50 UTC,___ ______ _______,0:10:28,Phin,Khet 01,"04-01-006-?????-""NaJan",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/50f44d13-56ee-4fd2-913b-8001bb9e4063.jpg,Yes,Not well,25,2,1,Community,Yes,,Community,National institution,National institution,10 to 20,Community,Time,___________,https://akvoflow-34.s3.amazonaws.com/images/160b432d-230b-425b-ba44-079b6b0dfeb4.jpg,16.52340044,105.9945208,173.6,5uuqudaw9,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/50f44d13-56ee-4fd2-913b-8001bb9e4063.jpg
2421294,14-10-2014 14:03:21 UTC,_______ _________,0:10:19,Phin,Khet 13,"04-13-143-?.???-""Phai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/85cfff25-cae2-4829-8cf3-15cdd500e8c9.jpg,Yes,Works well,8,5,2,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,Community box,__________________ ________,https://akvoflow-34.s3.amazonaws.com/images/99e2088b-929b-44c4-9c48-845ef995d84b.jpg,16.28650605,106.0827532,161.9,5rtwy85p7,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/85cfff25-cae2-4829-8cf3-15cdd500e8c9.jpg
2421347,15-10-2014 06:16:37 UTC,______ Viengthong,0:10:13,Phin,Khet 11,"04-11-096-?.????????-""Kaengkua",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/30b8b3b1-e865-4f6e-9323-d48cb04b4f32.jpg,No,,,6,3,School,No,Not working,National institution,International institution,Don't know,5 to 10,National institution,,_______________________,https://akvoflow-34.s3.amazonaws.com/images/f2a28db8-5ee2-498c-8937-bd2bdf09e18c.jpg,16.34691184,105.9329251,157.2,5slo0s2v5,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/30b8b3b1-e865-4f6e-9323-d48cb04b4f32.jpg
2421371,15-10-2014 07:23:16 UTC,_____ Kayson,0:17:50,Phin,Khet 02,"04-02-010-?.??????-""Napor",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/afd085de-841b-400b-832d-660dd4d13eaa.jpg,Yes,Not well,15,2,2,School|Wat,Yes,,Community,National institution,National institution,10 to 20,Community,Community box,___ ___ _._ _._ __________,https://akvoflow-34.s3.amazonaws.com/images/a8fb64ba-a41e-4237-98ca-fe1b58362949.jpg,16.53779094,105.9852212,170,5v1ctsxvw,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/afd085de-841b-400b-832d-660dd4d13eaa.jpg
2421418,15-10-2014 02:37:25 UTC,_______,0:03:42,Phin,Khet 03,"04-03-033-???????-""Nakaharn",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/53bee909-d2ba-4fc6-9dee-7d787b1937dd.jpg,Yes,Works well,26,6,2,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,When break down,_ ___,https://akvoflow-34.s3.amazonaws.com/images/d20e0a76-6647-46b0-95d7-79354a756a0a.jpg,16.53323078,106.0448079,195.4,5uz9ewbts,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/53bee909-d2ba-4fc6-9dee-7d787b1937dd.jpg
2430958,13-10-2014 03:33:58 UTC,_______,0:04:24,Phin,Khet 07,"04-07-040-?.??????-""Kazong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d69ecd14-973e-4512-86c8-8271b001288b.jpg,Yes,Works well,28,6,9,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,When break down,__________,https://akvoflow-34.s3.amazonaws.com/images/64db94a2-3152-4bc1-95e3-8e11841eb027.jpg,16.59299512,105.9049106,137.7,5vqpqghux,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/d69ecd14-973e-4512-86c8-8271b001288b.jpg
2431019,13-10-2014 11:55:09 UTC,_____ Kayson,0:12:28,Phin,Khet 08,"04-08-057-?.???????-""Nakhanong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c2ba647f-cfa7-4232-9ae1-1dc923373d61.jpg,Yes,Works well,12,1,3,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,________ _.______,https://akvoflow-34.s3.amazonaws.com/images/20b47295-83cc-4e44-a944-364fb67663e2.jpg,16.65560539,105.9310176,166.6,5wjh6u38u,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/c2ba647f-cfa7-4232-9ae1-1dc923373d61.jpg
2431021,13-10-2014 12:07:50 UTC,_____ Kayson,0:09:09,Phin,Khet 08,"04-08-057-?.???????-""Nakhanong",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/64cb84b4-0873-44d2-8613-8ac817558c46.jpg,Yes,Works well,7,1,2,Community,Yes,,Community,National institution,International NGO,10 to 20,Community,No payment,________ _._____,https://akvoflow-34.s3.amazonaws.com/images/1f7ba08a-54cb-4541-bf95-96c974787217.jpg,16.65326911,105.9324501,162.6,5wiehnrp8,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/64cb84b4-0873-44d2-8613-8ac817558c46.jpg
2431192,14-10-2014 08:19:35 UTC,______ Viengthong,0:13:47,Phin,Khet 11,"04-11-091-?.???????-""Tathaixe",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1fb28fc3-9fa6-4aef-9153-538d350d9eef.jpg,No,,,4,3,Community,No,Not working,Community,National institution,Don't know,5 to 10,Community,,___________,https://akvoflow-34.s3.amazonaws.com/images/a793b7a9-563d-42b5-b7cd-d69f39774f65.jpg,16.28213371,105.9568909,145.9,5rrwofv5c,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/1fb28fc3-9fa6-4aef-9153-538d350d9eef.jpg
2431394,15-10-2014 08:40:29 UTC,___ ______ _______,0:14:47,Phin,Khet 01,"04-01-001-?????????-""Vernhongkham",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/588100ee-7626-4e68-8a46-96297a74d8f7.jpg,No,,,5,2,School,No,Not working,National institution,International NGO,International NGO,10 to 20,National institution,,__________________________,https://akvoflow-34.s3.amazonaws.com/images/cbd6bfe7-73c8-4aca-a745-c996fae4eb19.jpg,16.53329108,106.0239829,156.9,5uzaembyn,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/588100ee-7626-4e68-8a46-96297a74d8f7.jpg
2431458,15-10-2014 03:28:02 UTC,________ Vonglakhone,0:12:07,Phin,Khet 09,"04-09-069-?.????????-""Somsaat",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7b386a6b-f3a6-4273-992b-c9704ef08761.jpg,Yes,Not well,21,1,5,Community,No,Water quantity,Community,National institution,National institution,< 5,Community,,____ __,https://akvoflow-34.s3.amazonaws.com/images/bd77b1ad-603d-40b5-847c-799f3237182a.jpg,16.68609387,105.9407437,206.3,5wxhfslvz,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/7b386a6b-f3a6-4273-992b-c9704ef08761.jpg
2441224,16-10-2014 00:35:23 UTC,_________ Laysavanh,0:11:53,Phin,Khet 14,"04-14-129-?.??????-""Houayhoi",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/08fe130b-0ae9-4eda-bcd8-802661033e48.jpg,Yes,Works well,17,3,4,Community,Yes,,Community,International institution,International institution,5 to 10,Community,When break down,_____________________,https://akvoflow-34.s3.amazonaws.com/images/09b18705-68cb-40da-938d-ff429eff4818.jpg,16.41554622,106.1304496,191.5,5th71b7aw,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/08fe130b-0ae9-4eda-bcd8-802661033e48.jpg
2441265,16-10-2014 02:11:11 UTC,________ Vonglakhone,0:10:42,Phin,Khet 04,"04-04-035-?.??????????-""Kanglathaeng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6df90696-d1ef-4330-ac09-d0a6cc78e297.jpg,Yes,Works well,23,3,2,Community,Yes,,Community,National institution,National institution,10 to 20,Community,When break down,____ ____,https://akvoflow-34.s3.amazonaws.com/images/77e93761-e3e9-4ae3-a401-970d2ca4e676.jpg,16.5395285,106.115246,189.7,5v25fsvfk,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/6df90696-d1ef-4330-ac09-d0a6cc78e297.jpg
2451471,14-10-2014 23:36:47 UTC,_______ Phaiphanom,0:08:34,Phin,Khet 12,"04-12-104-?.????????-""Thongmixai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c4da3fdf-f026-433b-b8b4-0efc26bac46f.jpg,Yes,Works well,15,1,2,Community,Yes,,Community,International institution,Don't know,10 to 20,Community,When break down,_.___,https://akvoflow-34.s3.amazonaws.com/images/033afcf9-021f-4606-ab1d-af50536983fa.jpg,16.26700426,105.8058213,147.7,5rkygff9m,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/c4da3fdf-f026-433b-b8b4-0efc26bac46f.jpg
2451482,14-10-2014 13:20:31 UTC,_______ _________,0:22:19,Phin,Khet 13,"04-13-140-?.?????-""Kapang",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fc1b5f4b-bff2-447b-bdcd-f9ea924a4cb1.jpg,Yes,Not well,25,2,3,Community|School,No,______(___),Community,National institution,National institution,< 5,Community,,_______________________,https://akvoflow-34.s3.amazonaws.com/images/91c8b915-931f-4910-8667-51474a22d8b7.jpg,16.27793314,106.0978497,163.3,5rpz7vbhu,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/fc1b5f4b-bff2-447b-bdcd-f9ea924a4cb1.jpg
2470936,15-10-2014 07:21:46 UTC,______ Viengthong,0:14:21,Phin,Khet 11,"04-11-096-?.????????-""Kaengkua",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c8f1ddf2-f92f-4b76-bb14-6d77db15555a.jpg,Yes,Works well,10,4,2,Community,Yes,,Community,National institution,Don't know,< 5,Community,When break down,____________,https://akvoflow-34.s3.amazonaws.com/images/3fcec1e5-151a-4b3e-90f0-f0272722451f.jpg,16.33513506,105.9574878,162.2,5sg979svq,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/c8f1ddf2-f92f-4b76-bb14-6d77db15555a.jpg
2470957,15-10-2014 08:41:43 UTC,___ ______ _______,0:14:55,Phin,Khet 01,"04-01-002-???????-""Pasomxay",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c869d202-9f31-498b-bb22-302f314892d1.jpg,Yes,Works well,8,1,1,Community,Yes,,Community,Community,Community,5 to 10,Community,No payment,___________,https://akvoflow-34.s3.amazonaws.com/images/0677aaf3-75d1-4300-9461-3fceec74be14.jpg,16.53596987,106.0106071,155.6,5v0ik9p1m,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/c869d202-9f31-498b-bb22-302f314892d1.jpg
2470959,15-10-2014 07:29:16 UTC,_____ Kayson,0:12:17,Phin,Khet 02,"04-02-010-?.??????-""Napor",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a288f21b-9f91-4d25-b5cf-53a53372c10e.jpg,Yes,Works well,11,1,2,Community,Yes,,Community,National institution,National institution,10 to 20,Community,Community box,________ _._______,https://akvoflow-34.s3.amazonaws.com/images/9f26123b-f645-4b9f-a31a-6e8cc970d005.jpg,16.54040594,105.9834037,167.2,5v2jzqare,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/a288f21b-9f91-4d25-b5cf-53a53372c10e.jpg
2471081,17-10-2014 00:38:16 UTC,______ Viengthong,0:18:13,Phin,Khet 05,"04-05-053-?.?????????-""Dongphoungern",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/8295a5a2-aada-4973-b1f3-29bc541fd82d.jpg,Yes,Works well,8,6,3,Community,Yes,,Community,International NGO,Don't know,10 to 20,Community,When break down,_____________,https://akvoflow-34.s3.amazonaws.com/images/19404f7d-59e1-4ecd-8961-64cf76758cf5.jpg,16.54692258,105.947882,161.2,5v5jtkiom,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/8295a5a2-aada-4973-b1f3-29bc541fd82d.jpg
2480998,16-10-2014 02:17:37 UTC,_______ Phaiphanom,0:08:04,Phin,Khet 12,"04-12-102-?.???????-""Nonvilay",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/48ac51d4-7991-4d31-a976-6d2cc4b7fb9a.jpg,Yes,Works well,20,1,1,Community,Yes,,Community,National institution,Don't know,< 5,Community,When break down,_._______,https://akvoflow-34.s3.amazonaws.com/images/e2d68143-c16a-4d42-b072-6b986b46c100.jpg,16.29308871,105.8263646,147.9,5rwxrsc7r,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/48ac51d4-7991-4d31-a976-6d2cc4b7fb9a.jpg
2481023,16-10-2014 04:49:03 UTC,___ ______ _______,0:07:12,Phin,Khet 01,"04-01-004-????-""Napho",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/5ebaee5e-8bff-4077-bd1e-fc48c396ceb6.jpg,Yes,Not well,26,3,2,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,When break down,______________,https://akvoflow-34.s3.amazonaws.com/images/5dab629d-1ff9-4ab9-afd3-05c9470fdb04.jpg,16.53083253,106.0037304,217.8,5uy5pzznp,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/5ebaee5e-8bff-4077-bd1e-fc48c396ceb6.jpg
2481184,17-10-2014 00:28:29 UTC,______ Viengthong,0:17:56,Phin,Khet 05,"04-05-053-?.?????????-""Dongphoungern",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/73191ad7-60e3-4aa8-abae-8d5d6320f101.jpg,Yes,Works well,5,4,3,Community,Yes,,Community,International NGO,Don't know,10 to 20,Community,When break down,____________,https://akvoflow-34.s3.amazonaws.com/images/547d3a1f-f9be-4cf7-b3bf-96548d3c038a.jpg,16.54730534,105.9496447,156.4,5v5q3t8ko,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/73191ad7-60e3-4aa8-abae-8d5d6320f101.jpg
2481196,17-10-2014 00:47:00 UTC,______ Viengthong,0:15:39,Phin,Khet 05,"04-05-054-?.???-""Koy",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7378b762-2f17-4679-b601-98ac80dc8873.jpg,Yes,Works well,7,4,2,Community,Yes,,Community,International NGO,Don't know,10 to 20,Community,When break down,_______________,https://akvoflow-34.s3.amazonaws.com/images/8c0d2743-ecaa-41f0-83b5-396cdcd8f024.jpg,16.5391628,105.9339467,143.6,5v1zhgs97,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/7378b762-2f17-4679-b601-98ac80dc8873.jpg
2481224,17-10-2014 02:04:20 UTC,___ ______ _______,0:14:37,Phin,Khet 01,"04-01-017-?.?????-""Sakhoung",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/bafe7b09-64b7-4250-9ca0-40d4a1f3f149.jpg,Yes,Works well,42,2,3,Community|School,Yes,,National institution,International NGO,International NGO,10 to 20,National institution,Community box,__________________________,https://akvoflow-34.s3.amazonaws.com/images/109d5fd5-0cb1-47dd-9b94-7749e1985988.jpg,16.53778106,106.0396131,167.2,5v1cnum98,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/bafe7b09-64b7-4250-9ca0-40d4a1f3f149.jpg
2481280,17-10-2014 05:07:53 UTC,_________ Laysavanh,0:09:03,Phin,Khet 14,"04-14-122-?.???????-""Xangthaeng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a94091b4-43b2-4d17-b6ad-e9fbfcf9027e.jpg,Yes,Works well,15,4,3,Community,Yes,,Community,National institution,National institution,< 5,Community,When break down,_________________,https://akvoflow-34.s3.amazonaws.com/images/ab685ea4-b8e7-4065-b0db-891c2b81e484.jpg,16.48065011,106.1393109,160.4,5ub3u4gwh,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/a94091b4-43b2-4d17-b6ad-e9fbfcf9027e.jpg
2481302,17-10-2014 11:26:02 UTC,_______,0:11:22,Phin,Khet 10,"04-10-087-?.?????????-""Anousanya",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/52bc8eb8-6374-47eb-b5d7-b59195cdd399.jpg,No,,,3,4,Community,No,Not working,Community,International NGO,International NGO,10 to 20,Community,,____ _____,https://akvoflow-34.s3.amazonaws.com/images/dc6281b0-451d-48e6-9e07-cc6a1389a61f.jpg,16.57351052,105.8568948,147.6,5vhrkkhag,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/52bc8eb8-6374-47eb-b5d7-b59195cdd399.jpg
2481336,18-10-2014 02:32:08 UTC,Lobinsanh,0:02:45,Phin,Khet 13,"04-13-111-?.???-""Nhang",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d625df1e-a371-4c7f-a6d1-31431c12aa9c.jpg,No,,,3,2,Community,No,Not working,Community,International institution,International institution,10 to 20,Community,,__________________,https://akvoflow-34.s3.amazonaws.com/images/a8f784f0-5399-4ac5-8d00-c08fcdfd122e.jpg,16.34059202,106.0399557,126.2,5siri0khb,No functionality,Not met,Met,Not met,NA,https://akvoflow-34.s3.amazonaws.com/images/d625df1e-a371-4c7f-a6d1-31431c12aa9c.jpg
2481396,18-10-2014 05:15:11 UTC,_____ Kayson,0:17:12,Phin,Khet 02,"04-02-011-?.????????-""Nakhanor",,Ground / Spring,Borehole,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/dfa40e6e-a8b9-468f-9ad3-3315d696b821.jpg,Yes,Works well,12,1,2,Private,Yes,,Private,National institution,International NGO,10 to 20,Private,Fuel / Electricity,________ _.____,https://akvoflow-34.s3.amazonaws.com/images/1d51a9c0-eaa8-4d12-b0f3-1a2d599bfb83.jpg,16.51717313,105.9694213,171.8,5urvt6rxq,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/dfa40e6e-a8b9-468f-9ad3-3315d696b821.jpg
3361034,11-09-2014 01:04:39 UTC,_. ____,0:14:30,Atsaphone,Judsumkaengmom,"13-XX-039-???? ???????-""Kaengdaeng",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6c03906a-260e-428b-854a-fae3b9d9ca0f.jpg,Yes,Works well,30,5,7,Community,Yes,,Community,International NGO,International institution,5 to 10,Community,No payment,____ _____,https://akvoflow-34.s3.amazonaws.com/images/4f576772-9f5f-4622-af8d-9bd02fab6150.jpg,17.08053526,105.4450042,136,61yor6lwy,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/6c03906a-260e-428b-854a-fae3b9d9ca0f.jpg
3361077,11-09-2014 00:24:04 UTC,_._______ _______,0:19:49,Atsaphone,Judsumkaengmom,"13-XX-042-??? ????????-""Kaengmom",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/10bbbf72-c7e4-4c83-999f-b7d2f3660364.jpg,Yes,Works well,120,5,7,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,When break down,______,https://akvoflow-34.s3.amazonaws.com/images/ff9ef128-e95a-42a6-af77-88e87b68e22d.jpg,17.0839618,105.5090938,160.2,6209hbfci,Partial functionality,Not met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/10bbbf72-c7e4-4c83-999f-b7d2f3660364.jpg
3361109,11-09-2014 01:37:15 UTC,_._______ _______,0:19:58,Atsaphone,Judsumnonrixai (Nakhae),"13-XX-032-???? ??????-""Nonnhang",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f008f380-a23c-4435-b20a-5da4ea1b6c05.jpg,No,Doesn't work,,5,6,Community,No,Not working,Community,International NGO,International NGO,10 to 20,Community,,______,https://akvoflow-34.s3.amazonaws.com/images/d412f507-4adb-4f92-96d2-ac6c6150106b.jpg,17.03507877,105.1664487,141.9,61dsxgz9s,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/f008f380-a23c-4435-b20a-5da4ea1b6c05.jpg
3361161,12-09-2014 09:59:49 UTC,___ ________,0:11:46,Atsaphone,Judsumphonengarm,"13-XX-023-???? ???????-""Phonnadee",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e93e6f4f-18ad-4cc2-b6a4-ccdceed52114.jpg,No,Doesn't work,,2,4,Community,No,Not working,Community,International NGO,International NGO,< 5,Community,,_____ ____ ________,https://akvoflow-34.s3.amazonaws.com/images/6e5a7a23-d126-4f17-b969-7b5da768d9cd.jpg,16.87445098,105.2449131,161.2,5zc0kgyox,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/e93e6f4f-18ad-4cc2-b6a4-ccdceed52114.jpg
3361206,12-09-2014 10:59:04 UTC,___ _______,0:16:11,Atsaphone,Judsumphonengarm,"13-XX-027-??????-""Phonngarm",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/3ceeed7f-7575-43ce-b748-aae1b927f611.jpg,Yes,Works well,15,4,5,School,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,___________ ______,https://akvoflow-34.s3.amazonaws.com/images/aea0d47a-1cd8-48c3-bcab-2d04ee79c8b1.jpg,16.8750365,105.2164485,165.9,5zca5sdc4,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/3ceeed7f-7575-43ce-b748-aae1b927f611.jpg
3361325,12-09-2014 04:30:46 UTC,_.____,0:08:22,Atsaphone,Judsumnapord,"13-XX-046-???? ????????-""Tonphosee",,Ground / Spring,Dug Well,,Loose rope/ stick,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a2d2a71d-d963-4f4b-9f29-b57287481ede.jpg,Yes,Works well,6,2,6,Community,Yes,,Community,Community,Community,>20,Community,When break down,___ _._______,https://akvoflow-34.s3.amazonaws.com/images/76de6374-4443-488c-bd00-de4c6d808ca4.jpg,16.92249925,105.4321497,142.4,5zy328xdd,Partial functionality,Met,Not met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/a2d2a71d-d963-4f4b-9f29-b57287481ede.jpg
3370962,12-09-2014 04:00:54 UTC,_ ________,0:21:11,Atsaphone,Kumban 1,"13-01-006-???? ?????????-""Nahangnoi",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/53eb5277-ffe9-4886-9b40-01ed88dd847b.jpg,No,Doesn't work,,4,2,Community,No,Not working,Community,International NGO,International NGO,5 to 10,Community,,______,https://akvoflow-34.s3.amazonaws.com/images/73b34157-d48e-4479-921c-ad0c07d61858.jpg,16.8712277,105.3695511,140.6,5zaj5evpb,No functionality,Not met,Met,NA,NA,https://akvoflow-34.s3.amazonaws.com/images/53eb5277-ffe9-4886-9b40-01ed88dd847b.jpg
3370963,12-09-2014 04:24:13 UTC,_ ________,0:18:27,Atsaphone,Kumban 1,"13-01-006-???? ?????????-""Nahangnoi",,Ground / Spring,Dug Well,,Rope on pulley,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a94a5a55-2fcb-4afe-886c-1639f1166b0c.jpg,Yes,Works well,9,7,2,Community,Yes,,Community,International NGO,International NGO,< 5,Community,When break down,_ __,https://akvoflow-34.s3.amazonaws.com/images/aa1d0258-0dfc-4d48-ad77-77c72e8f7500.jpg,16.87183748,105.3714691,157.9,5zat8laqa,No functionality,Met,Not met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/a94a5a55-2fcb-4afe-886c-1639f1166b0c.jpg
3371011,12-09-2014 02:13:15 UTC,_ ________,0:16:22,Atsaphone,Kumban 02,"13-02-010-???? ??????????-""Dongwaidin",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f685ee1a-588f-441e-ae95-f505a31b047b.jpg,Yes,Works well,13,16,4,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,_ ___,https://akvoflow-34.s3.amazonaws.com/images/5db11e35-652a-4285-a2ef-da9c8f93ed13.jpg,16.79838279,105.362501,143.5,5yd2icvy1,Partial functionality,Met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/f685ee1a-588f-441e-ae95-f505a31b047b.jpg
3371035,12-09-2014 01:48:09 UTC,Kayson,0:19:36,Atsaphone,Judsumphonengarm,"13-XX-028-?????????-""Kathinggnai",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/5ef4e99c-f015-4a95-8337-c5a285ac1063.jpg,Yes,Works well,25,4,7,Community,Yes,,Community,International NGO,International NGO,10 to 20,Community,Community box,________ _.______,https://akvoflow-34.s3.amazonaws.com/images/a6af509f-71fb-47a3-9ffa-da68d7e2c26d.jpg,16.88504015,105.2170303,157.1,5zgvpheru,No functionality,Not met,Met,Not met,Met,https://akvoflow-34.s3.amazonaws.com/images/5ef4e99c-f015-4a95-8337-c5a285ac1063.jpg
3371064,12-09-2014 03:21:33 UTC,_____,0:20:46,Atsaphone,Kumban 1,"13-01-005-???? ??????-""Nongbua",,Ground / Spring,Borehole,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/592500ff-4405-4589-8bfc-3e60d4f05143.jpg,Yes,Works well,9,4,5,Community,Yes,,Community,International NGO,International NGO,5 to 10,Community,No payment,__________________,https://akvoflow-34.s3.amazonaws.com/images/b033da90-e215-41ff-999e-5cdab4d6a6d5.jpg,16.8822113,105.3203081,155,5zfkwkplf,Full functionality,Met,Met,Met,Met,https://akvoflow-34.s3.amazonaws.com/images/592500ff-4405-4589-8bfc-3e60d4f05143.jpg
