Identifier,Date*,Submitter,District,Village AtsVillage Phin,Quality,Quantity,Accessibility,Reliability,FS,HH_user_#,Get_Water,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Photo Pt 1,Lat,Long,HH # user,Drink prop',Main - why drink,Main - Not drink,Month used,Month water enough,Photo_Pt2,Photo_Pt3,Photo_Pt4,Photo_Pt5
s031-3wgr-uba3,41893,_. _______,13 - 13 - Atsaphone,"13-XX-044-____ _____-""Sobxe",2,5,2,,2,60,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1d9d0b1b-72f0-4038-b3fa-1808c5df372b.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/34f88d1a-e332-4b43-aa16-3d4c3ef705bb.jpg,17.03395485,105.6305416,60,All,Good colour,,12,12,,,,
s9nt-jw4j-j8a2,41893,_. ____,13 - 13 - Atsaphone,"13-XX-036-____ ______-""Kangtha",5,4,4,,4,25,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/314fb114-506f-4012-82f7-84b1db674ee9.jpg,Yes,Works well,Community|School,Yes,,Community,International NGO,Don't know,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/0dfbad6d-31e1-45df-b4f4-2b0ee7b4f8df.jpg,17.03702363,105.2669202,25,All,_________________,,12,12,,,,
sktp-k465-797p,41893,_. ____,13 - 13 - Atsaphone,"13-XX-033-____ ______-""Nanoi",5,2,4,,2,13,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/b48835d1-55ab-4529-ae84-8e6ba6cc616a.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,15-20,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/7b610093-1770-4cca-a159-622bd567ddf0.jpg,17.05587594,105.1996607,13,All,___________,,12,12,,,,
svbj-mr5a-hkhc,41893,_. _______,13 - 13 - Atsaphone,"13-XX-040-____ _______-""Houayyang",5,2,4,,2,15,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f3a06c10-e957-4166-8123-81cfa9431be3.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/2c84ff0d-3d72-4bc9-a5ed-54759ea4de58.jpg,17.09907477,105.4602021,15,All,Good taste,,12,12,,,,
tksc-m44j-h81u,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-034-____ ______-""Bangbed",2,5,4,,2,15,1,BH,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fdb3d1fc-2310-4796-b43b-83704522e782.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/f39ed3a1-b378-4320-997b-e1c2974eed8a.jpg,17.03849286,105.2122594,15,Nobody,,,12,12,,,,
utj6-h383-mubj,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-036-____ ______-""Kangtha",5,2,4,,2,10,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/701eaff8-e7d0-4b4f-b3da-74ea34ffaeb3.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/8c3e00d9-ea39-490f-af9a-e594616b1a5e.jpg,17.03508486,105.2509968,10,All,Good taste,,12,12,,,,
v7cd-g38k-aer6,41893,_. _______,13 - 13 - Atsaphone,"13-XX-041-____ _______-""Kaengmeo",2,2,4,,2,18,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/356eddf0-40d4-46ed-9133-24c70ee101d9.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/6135f503-2ca2-45b1-96c3-9e3c5a35db67.jpg,17.08761392,105.4761677,18,Nobody,,,12,12,,,,
vh0e-rg9g-3dr1,41893,____ ______,13 - 13 - Atsaphone,"13-XX-038-____ _________-""Khokkatai",2,4,4,,2,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/95043959-1911-4e63-8c99-0d0823273d68.jpg,Yes,Works well,Community|Wat,Yes,,Community,International NGO,International NGO,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/10055eae-eda0-4cc1-a595-7d414d8b1889.jpg,17.07141563,105.3612251,7,Nobody,,,12,12,,,,
vh5s-2sjb-p8wt,41893,_. ____,13 - 13 - Atsaphone,"13-XX-036-____ ______-""Kangtha",5,2,4,,2,15,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/77dd4013-f4ee-4f12-a389-dea00056b7bc.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,Don't know,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/b4ac0f1e-1c70-4bf8-b10b-988a82d259b5.jpg,17.037788,105.2704256,15,All,_________________,,12,12,,,,
vnft-5rh1-xas7,41893,____ ______,13 - 13 - Atsaphone,"13-XX-041-____ _______-""Kaengmeo",5,2,4,,2,12,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/377434de-ab7b-416e-9673-983e04a620b6.jpg,No,Doesn't work,Community,No,Not working,National association,National association,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/69b61162-efa1-4879-b652-a069daec5d6c.jpg,17.08322289,105.49133,12,All,Good colour,,12,12,,,,
vyu4-2mym-qh6s,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-042-___ ________-""Kaengmom",2,2,4,,2,15,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/10bbbf72-c7e4-4c83-999f-b7d2f3660364.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-20,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/ff9ef128-e95a-42a6-af77-88e87b68e22d.jpg,17.0839618,105.5090938,15,Nobody,,,0-4,12,,,,
wues-4adu-m72n,41893,____ ______,13 - 13 - Atsaphone,"13-XX-033-____ ______-""Nanoi",5,2,4,,2,15,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/be9421b6-1636-40d7-a910-e9cf899175c3.jpg,Yes,Not well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/3ebd5f28-69aa-49a7-8451-49542d6d6478.jpg,17.08707089,105.1843147,15,All,Good colour,,12,12,,,,
x99f-qgdy-c897,41893,_.____,13 - 13 - Atsaphone,"13-XX-054-____ _________-""Houaynguakham",5,5,3,,3,25,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/32858514-0e9f-47a5-80d9-a0249426be02.jpg,Yes,Works well,Community,Yes,,Community,International institution,Don't know,15-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/4266cf47-aaea-4d8a-ba39-6ff446d403ef.jpg,16.84817315,105.5442968,25,All,Good taste,,12,12,,,,
xbdv-a935-bprt,41893,____ ______,13 - 13 - Atsaphone,"13-XX-041-____ _______-""Kaengmeo",2,4,4,,2,6,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/cce50221-6115-4276-a479-e76ead2cbbb6.jpg,Yes,Works well,Community,Yes,,Community,National association,National association,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/116f8374-d283-412e-9572-ba49b7ef6e7a.jpg,17.08844015,105.4728801,6,Nobody,,,12,12,,,,
xj10-71a8-vb0b,41893,____. ______,13 - 13 - Atsaphone,"13-XX-030-________-""Tatkhadaeng",5,2,4,,2,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/872d39e1-2fd8-4a00-aa60-74285da7e5d0.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/c37c54e7-9fe0-4ab1-8f24-408234d2134d.jpg,16.92955958,105.1491516,7,All,Good colour,,12,12,,,,
xu60-w9gr-e2jy,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-036-____ ______-""Kangtha",5,2,4,,2,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e83994f6-39cf-4941-836a-a613a4696eed.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/0ab5a31d-5a6f-430b-b28e-ee1fbcbf6dc2.jpg,17.03359689,105.2879312,7,All,Good colour,,12,12,,,,
y9px-a620-5dxq,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-041-____ _______-""Kaengmeo",5,4,4,,4,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1084bee3-e700-44a4-9739-21db83f87a6f.jpg,Yes,Works well,Community|Wat,Yes,,Community,International NGO,International NGO,< 5 years,Community,_______,https://akvoflow-34.s3.amazonaws.com/images/c39dc0cf-3ada-4f42-8c17-bc0c96b3e679.jpg,17.08751756,105.4857808,7,All,Good taste,,12,12,,,,
yb22-sbcx-0yv,41893,_. _______,13 - 13 - Atsaphone,"13-XX-036-____ ______-""Kangtha",5,2,4,,2,6,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/13c9fb2d-8742-4a41-9418-2464051d50f2.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/90d969eb-888e-4ff2-82fe-8e7a131201bb.jpg,17.03742738,105.2590015,6,All,Good taste,,12,12,,,,
yftx-41vg-e4b7,41893,____ ______,13 - 13 - Atsaphone,"13-XX-043-____ ______-""Phonbok",5,2,4,,2,12,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/25b7374e-4d50-4d8d-ae15-4e46bf521d87.jpg,No,Doesn't work,Community,No,Not working,Community,National association,National association,15-20,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/010a71e2-330f-46e5-8ec1-398e1994dd19.jpg,17.05672711,105.5760923,12,All,Good colour,,12,12,,,,
yqhy-w9hm-cph8,41893,_._______ _______,13 - 13 - Atsaphone,"13-XX-037-____ ________-""Dongkhamkouan",2,5,4,,2,50,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7f537a72-320a-4b47-8873-05a53838421d.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/74a4450e-9b1a-4845-8d9c-2580c81f23da.jpg,17.05062841,105.3107,50,All,Good colour,,12,12,,,,
ytvu-d3wu-c755,41893,____ ______,13 - 13 - Atsaphone,"13-XX-043-____ ______-""Phonbok",5,4,4,,4,6,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/3da7b3cd-a049-4a08-944f-2dc2998e568e.jpg,Yes,Works well,Community,Yes,,Community,National association,National association,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/954b509d-7696-4579-aaf6-7770133747f3.jpg,17.05076459,105.5783743,6,All,Good colour,,12,12,,,,
10ds-3175-v1ju,41894,___ _______,13 - 13 - Atsaphone,"13-XX-058-____ _______-""Nakapong",5,1,4,,1,49,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/ec47abab-cfa8-494a-bf98-383085c48e25.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,>20,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/d4204e80-6b49-4452-a1e2-fcdfa35e0989.jpg,16.85790568,105.4441425,49,Not in use,,,0-4,0-4,,,,
121p-py6c-qs16,41894,_.____,13 - 13 - Atsaphone,"13-XX-050-____ _________-""Buengphanae",5,5,4,,4,16,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/ac99f279-081a-44f2-91de-5000c06e122e.jpg,Yes,Works well,Community|Wat,Yes,,Community,National institution,National institution,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/ab8daa20-df52-4de0-9573-0f3910514683.jpg,16.89246399,105.4567123,16,All,Safe,,12,12,,,,
1425-butw-8c73,41894,_. ________ ______,13 - 13 - Atsaphone,"13-04-019-____ ______-""Donkoong",2,5,4,,2,15,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7267998c-f899-478b-82f9-8433b88f0a12.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/0a346903-8e9e-41b1-ab15-733df0b3021b.jpg,16.91913084,105.254573,15,All,Good taste,,12,12,,,,
142h-2sag-mmnu,41894,Kayson,13 - 13 - Atsaphone,"13-XX-022-____ ______-""Phontoum",5,5,4,,4,22,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a8d84260-2fda-4863-8372-0fdab2c19fde.jpg,Yes,Works well,School,Yes,,Community,International NGO,International NGO,< 5 years,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/aa0fa163-ac60-4475-bb0e-3985e57e5a12.jpg,16.89793647,105.2683955,22,All,Good colour,,12,12,,,,
167j-esa7-knte,41894,_. ________   _. _____,13 - 13 - Atsaphone,"13-XX-060-____ ______-""Nathom",2,5,4,,2,27,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/671496d0-7d24-44e7-9c8f-7cee8a0049e1.jpg,Yes,Works well,Community,Yes,,Community,National institution,National institution,15-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/66733e4d-a3e3-423d-85d2-48b6b09a61d0.jpg,16.8373026,105.4133243,27,Nobody,,,12,12,,,,
16ry-qkk9-xyxy,41894,___ _______,13 - 13 - Atsaphone,"13-XX-045-____ _____-""Nanhorn",2,5,4,,2,8,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1f350fb5-55b6-4536-bf8a-d64accd4f363.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,< 5 years,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/55f129db-c07b-4c3f-8256-5660e4270100.jpg,16.9299339,105.4862606,8,Nobody,,,12,12,,,,
1a7b-mb93-ggb1,41894,_. ________ ______,13 - 13 - Atsaphone,"13-04-018-____ _______-""Somhong",2,4,4,,2,13,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/24bd3877-ba99-4978-8653-ee70e32453be.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/45213b28-358d-4d8f-a3a0-0abca19e7fb7.jpg,16.94592698,105.2767705,13,Nobody,,,10-Nov,10-Nov,,,,
1a7j-t8qn-n0k1,41894,_. ________   _. _____,13 - 13 - Atsaphone,"13-XX-051-____ ______-""Jormhart",2,5,4,,2,35,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/f02e54da-1706-4160-a6ce-dfec985bde14.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/1a71555f-84e8-4d4a-b087-10e50ad91e78.jpg,16.89999642,105.4726203,35,Nobody,,,12,12,,,,
1dqg-bmv1-egxu,41894,_. ________   _. _____,13 - 13 - Atsaphone,"13-XX-060-____ ______-""Nathom",2,5,2,,2,118,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/2abcc5d5-017a-4424-8a01-fffb1c8995fb.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/d1296109-0d8c-4534-a867-1795a07430bd.jpg,16.84014465,105.4111151,118,All,Good taste,,12,12,,,,
1duj-ytxx-p1ft,41894,_ ________,13 - 13 - Atsaphone,"13-02-009-____ _______-""Dongthada",5,2,4,,2,10,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1a6eeba8-77d4-41ed-a3ba-937e322babae.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/7ddd527d-7fb9-4041-a9b3-423d1a526980.jpg,16.80949938,105.3425024,10,Nobody,,,12,12,,,,
1e4v-p1n3-cduv,41894,_. _________,13 - 13 - Atsaphone,"13-03-013-____ _______-""Naduea",2,4,2,,2,55,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/2db9ebde-f9ed-4210-9e18-8566266a60db.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/b90a88cb-c0fe-448b-9a6a-da33b380523b.jpg,16.87468522,105.3059098,55,All,Religious belief,,12,10-Nov,,,,
1qtm-pmj1-nn9b,41894,_.____,13 - 13 - Atsaphone,"13-XX-046-____ ________-""Tonphosee",2,5,4,,2,15,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a2d2a71d-d963-4f4b-9f29-b57287481ede.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/76de6374-4443-488c-bd00-de4c6d808ca4.jpg,16.92249925,105.4321497,15,All,Safe,,12,12,,,,
1ub5-8hct-wdbw,41894,_.______ __________,13 - 13 - Atsaphone,"13-XX-049-____ ______-""Kudhin",2,5,4,,2,5,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/8caa301c-7b47-4cc0-a569-bede89c6a8a4.jpg,Yes,Works well,School,Yes,,Community,International NGO,International NGO,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/e02e54be-2eed-4cd3-a443-8be065a9fd1e.jpg,16.86596917,105.4013605,5,Nobody,,,12,12,,,,
1vrk-b2pk-8j29,41894,Kayson,13 - 13 - Atsaphone,"13-XX-028-_________-""Kathinggnai",2,4,4,,2,17,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/5ef4e99c-f015-4a95-8337-c5a285ac1063.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,15-20,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/a6af509f-71fb-47a3-9ffa-da68d7e2c26d.jpg,16.88504015,105.2170303,17,Many,Safe,,12,12,,,,
1y72-67d3-nf4w,41894,_.______ __________,13 - 13 - Atsaphone,"13-XX-049-____ ______-""Kudhin",2,1,4,,1,25,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/60caa7c1-b643-439a-92c7-91dce8e367f0.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/949eb3e5-2685-49c8-877e-c651ae25457e.jpg,16.88116234,105.4046427,25,Nobody,,,0-4,0-4,,,,
20we-7xhk-py1s,41894,___ _______,13 - 13 - Atsaphone,"13-XX-055-____ ________-""Dongkhankham",2,2,3,,2,47,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e149849d-8bce-4ede-948c-ae082e66f3b3.jpg,Yes,Not well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/2e0d0b06-f50c-4679-a5eb-b1d79c1b7c80.jpg,16.88438287,105.5518775,47,Nobody,,,12,8-Sep,,,,
21f7-6a8e-vqan,41894,_. _________,13 - 13 - Atsaphone,"13-03-013-____ _______-""Naduea",5,5,5,,5,1,1,BH,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/9a98e22d-4259-4e5a-a170-1ea0e4b38da8.jpg,Yes,Works well,Wat,Yes,,Community,National institution,National institution,15-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/669d130d-8c21-459e-980c-ac2e0140eccf.jpg,16.86994408,105.3016503,1,All,Good taste,,12,12,,,,
22rc-2e2r-m1xu,41894,_. ________   _. _____,13 - 13 - Atsaphone,"13-XX-048-____ _____-""Napord",2,5,4,,2,15,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/fca6f600-2920-4784-a1f5-2454e6df816e.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/a542bc8a-ab47-4553-9e52-1177eb6eb895.jpg,16.91308987,105.3995452,15,Nobody,,,12,12,,,,
2454-kak3-u1y4,41894,_. _________ __________,13 - 13 - Atsaphone,"13-03-016-____ _________-""Namarkkea",2,5,4,,2,17,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/1658a1a6-cb6b-4372-8b95-fc9edbab35e0.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,>20,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/3cea3237-55fc-4fab-aa71-6d01e0d19686.jpg,16.89222695,105.2916552,17,All,Good taste,,12,12,,,,
2b4w-30a0-t68h,41894,___ _______,13 - 13 - Atsaphone,"13-XX-055-____ ________-""Dongkhankham",2,4,3,,2,50,1,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d22cfeed-8b32-4d46-b721-57ba603cba7b.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,15-20,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/0d0c3285-41b7-4cd5-b7e2-2ad2cb9b1425.jpg,16.88484632,105.5519032,50,All,Good taste,,12,10-Nov,,,,
2r4j-thjx-aeda,41894,___ _______,13 - 13 - Atsaphone,"13-XX-027-______-""Phonngarm",5,5,4,,4,19,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6bb886c8-118e-45ff-97c2-9a3b51a397b4.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,< 5 years,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/c136e0f0-3aa5-484e-830d-035b164e7b53.jpg,16.87322945,105.2101426,19,All,Good colour,,12,12,,,,
2uyg-0dpu-eqsf,41894,_. _________ __________,13 - 13 - Atsaphone,"13-03-016-____ _________-""Namarkkea",5,4,3,,3,30,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d647fb00-6f22-4e08-9da6-2e9ce8705524.jpg,Yes,Works well,Community,Yes,,Community,Community,Community,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/38de9351-6281-4ddb-a09a-897f05646b2b.jpg,16.90756492,105.2768074,30,All,Safe,,12,12,,,,
33vq-mt58-atn4,41894,___ _____ _____________ +____ ______,13 - 13 - Atsaphone,"13-02-011-____ ________-""Navangmon",5,2,4,,2,5,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a840909c-84e3-4cfe-a292-e7dea378a07e.jpg,No,Doesn't work,Community,No,Not working,Community,International NGO,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/b119dedd-5d5e-486d-86f4-2e2218ab9425.jpg,16.82532349,105.374471,5,Nobody,,,12,12,,,,
3681-f3k9-ecjc,41894,___ _____ _____________ +____ ______,13 - 13 - Atsaphone,13-XX-002-__________ - NakoudJan,2,4,4,,2,16,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/b481a83d-fd17-49c5-8a45-29ec1189dadc.jpg,Yes,Works well,School,Yes,,Community,International NGO,International NGO,< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/7577e867-dcf5-4c26-ad41-9ef2aca14293.jpg,16.8417466,105.3286221,16,Nobody,,,12,8-Sep,,,,
36y9-p4me-00fg,41894,___ _____ _____________ +____ ______,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",2,4,3,,2,32,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/ce142b74-8155-4940-831b-1c6208bc4ce3.jpg,Yes,Works well,School,Yes,,Community,International NGO,International NGO,15-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/11e02479-ab36-43af-8fef-eefa9bda11ce.jpg,16.87021442,105.3472255,32,Nobody,,,12,10-Nov,,,,
382u-hnxh-14wb,41894,_.____,13 - 13 - Atsaphone,"13-XX-046-____ ________-""Tonphosee",2,5,4,,2,13,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/40f83cbb-c53b-4487-ad4f-4b802ae3ca17.jpg,Yes,Works well,Community,Yes,,Community,National institution,National institution,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/2364f03c-35f1-4a4e-afac-2df6c78a3104.jpg,16.93396738,105.4467434,13,Nobody,,,12,12,,,,
3b1g-kw29-1er9,41894,_._________,13 - 13 - Atsaphone,"13-XX-056-____ _________-""Houayduea",2,4,4,,2,5,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c4d7a9ea-3de7-4277-b467-1472d65eade3.jpg,Yes,Not well,Community,Yes,,Community,National institution,National institution,15-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/d3935b55-9ba4-4750-85ee-042b0eb784d5.jpg,16.79213309,105.4936548,5,Nobody,,,12,12,,,,
3beg-rgb5-e27h,41894,_._________,13 - 13 - Atsaphone,"13-XX-056-____ _________-""Houayduea",3,5,4,,3,19,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/efa70c56-f7cc-4a74-9078-ef5014f0564f.jpg,Yes,Not well,School,Yes,,Community,National institution,National institution,< 5 years,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/7a641193-3a35-47a9-a84b-251402b9dff3.jpg,16.7866592,105.4930757,19,Many,Good colour,,12,12,,,,
3r19-8a8v-ny48,41894,_.______ __________,13 - 13 - Atsaphone,"13-XX-057-____ _______-""Nalaw",2,4,4,,2,10,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/abae24d2-9f67-46ec-86f5-6ce66e1ec4e8.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/12832296-b8f0-4db3-a52f-8bc2e389fca8.jpg,16.82889389,105.4544221,10,Few,________,,12,12,,,,
3rq1-dr1p-bu1b,41894,_. ________   _. _____,13 - 13 - Atsaphone,"13-XX-059-____ __________-""Singsavang",2,5,4,,2,22,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/7d114e9e-43f2-4df4-81b5-e7b83c531481.jpg,Yes,Works well,Community,Yes,,Community,National institution,National institution,5-Oct,Community,Community box,https://akvoflow-34.s3.amazonaws.com/images/2423f57d-cfb3-4536-8542-ba9a481c88e6.jpg,16.81229469,105.4344501,22,Nobody,,,12,12,,,,
3v4w-ne89-w4e1,41894,___ _____ _____________ +____ ______,13 - 13 - Atsaphone,"13-03-013-____ _______-""Naduea",2,5,4,,2,3,1,BH,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/78e1a890-7108-4d12-af78-ad81b3595023.jpg,Yes,Works well,Community,Yes,,Community,International NGO,International NGO,5-Oct,Community,When break down,https://akvoflow-34.s3.amazonaws.com/images/b785bf83-a623-4cdb-abdb-e5a35961578c.jpg,16.87040531,105.3047914,3,Nobody,,,12,12,,,,
