Identifier,Date*,Submitter,District,Village AtsVillage Phin,Quality,Quantity,Accessibility,Reliability,FS,HH_user_#,Get_Water,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Photo Pt 1,Lat,Long,HH # user,Drink prop',Main - why drink,Main - Not drink,Month used,Month water enough,Photo_Pt2,Photo_Pt3,Photo_Pt4,Photo_Pt5
ctwe-5n0j-brka,41886,_ _____,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,4,,2,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/50b6bc52-f5af-4c67-8828-616b16986cce.jpg,Yes,Works well,Community,Yes,,National association,_________,_______,< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/32a8b83a-a790-49d5-8f12-d3a30b1d3ca2.jpg,16.83191152,105.3314235,7,Nobody,,,12,0-4,,,,
d3ka-bcw9-jyxb,41886,__________,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,4,,2,6,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/41d363cb-e983-4999-af43-641bb460f39c.jpg,No,Works well,Community,Yes,,National association,Community,National association,5-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/b5a4954f-9306-4188-8a80-c733912b90b3.jpg,16.83007947,105.3318711,6,Nobody,,,12,0-4,,,,
ent1-yymx-agcb,41886,___ _____ ________,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",5,1,4,,1,17,1,BH,No pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/36307109-7fff-40ba-89bf-04a703699cca.jpg,Yes,Not well,Community,Yes,,National association,Private,National association,15-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/f19d2dfc-31df-45cf-bddb-f59068d67b3b.jpg,16.86803275,105.3390286,17,All,Good colour,,12,0-4,,,,
fhaj-tq2c-x6s0,41886,_ _______,13 - 13 - Atsaphone,"13-XX-002-_______-""Pasomxay",2,2,4,,2,7,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/2a2a4ab7-5973-4d6c-bb10-43fffebdccf4.jpg,Yes,Works well,Community,Yes,,National association,Community,National association,5-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/664fadab-ac4d-43a3-bf62-c93d983df578.jpg,16.83910118,105.3276069,7,Nobody,,,12,0-4,,,,
gqmg-fan9-g6qh,41886,_._____ _____________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",5,1,1,,1,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/553655cf-cbc5-41e7-a010-b1993c8d057a.jpg,No,Doesn't work,Community|School,No,Not working|Management,National institution,National institution,International institution,5-Oct,National institution,No payment,https://akvoflow-34.s3.amazonaws.com/images/bde7d33c-10f0-4dc3-89be-86d61f76aaf2.jpg,16.85309578,105.3214465,,Not in use,,,0-4,0-4,,,,
mjs2-1qgr-16t1,41886,___ ________ _______,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",2,2,5,,2,1,1,BH,Motor pump,,,Yes,Motor pump,1,https://akvoflow-34.s3.amazonaws.com/images/a4f48323-e0cd-41fc-98a8-ae910e0228ef.jpg,Yes,Works well,Private,Yes,,International institution,Private,International institution,15-Oct,Private,No payment,https://akvoflow-34.s3.amazonaws.com/images/6d123a2e-f76a-4ae4-a54c-2ec73ffcf67d.jpg,16.85581041,105.3355421,1,Nobody,,,12,0-4,,,,
nkag-8bw0-qt46,41886,_._____ _____________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,1,5,,1,0,1,BH,Motor pump,,,Yes,Same pump used for extraction,4,https://akvoflow-34.s3.amazonaws.com/images/9bb0f8d2-a715-43a4-b874-5d1cef6a34c2.jpg,Yes,Works well,Wat,Yes,,National institution,National institution,National association,5-Oct,National institution,No payment,https://akvoflow-34.s3.amazonaws.com/images/0c4ffddb-5c08-4654-bcf4-e8d9805ed4d6.jpg,16.85478888,105.3207383,,Nobody,,,12,0-4,https://akvoflow-34.s3.amazonaws.com/images/1bcec80b-81c3-4a99-b01a-67026a1c2a4c.jpg,https://akvoflow-34.s3.amazonaws.com/images/a1fc7242-2707-4c2b-a163-25d637e1837a.jpg,https://akvoflow-34.s3.amazonaws.com/images/3c886375-e802-4c82-863e-3a5a19668ad1.jpg,
nns0-854e-6xdu,41886,_ ____,13 - 13 - Atsaphone,"13-01-007-____ ______-""Kudkaen",2,2,4,,2,13,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/a666815d-85b3-435e-8cf8-13a58294b331.jpg,Yes,Works well,Community,Yes,,Community,International NGO,Don't know,< 5 years,Community,________________,https://akvoflow-34.s3.amazonaws.com/images/c72ede1d-7695-4f73-98c0-01084e5c95be.jpg,16.89907657,105.3567209,13,Nobody,,,12,0-4,,,,
nw5r-m6wy-npb8,41886,___ ________ _______,13 - 13 - Atsaphone,"13-XX-003-____ ________-""Phakkagna",2,2,5,,2,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/5fa2f30a-6c4f-45e3-9db1-57efd3956ceb.jpg,No,Works well,School,Yes,,_________,National association,National association,< 5 years,National association,No payment,https://akvoflow-34.s3.amazonaws.com/images/3d774b53-8fae-49b8-acc2-1c8c21f03b70.jpg,16.86182368,105.334916,,Nobody,,,12,0-4,,,,
rwp2-8uc5-mygg,41886,_ ____,13 - 13 - Atsaphone,"13-01-007-____ ______-""Kudkaen",2,2,5,,2,3,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/51a75c42-5683-4ad2-bfe7-62159dd16685.jpg,Yes,Works well,Community,Yes,,International NGO,Community,Don't know,5-Oct,Community,_____________________,https://akvoflow-34.s3.amazonaws.com/images/7d35b435-7118-442c-98e7-b1a15b066e2d.jpg,16.89995774,105.3548822,3,Nobody,,,12,0-4,,,,
